actionName,resourceName,type,priority
UAV2Flight_Dynamics,UAV2heading_deg,get,0
UAV2Flight_Dynamics,UAV2heading_deg,set,0
UAV2Direct_to_waypoint,UAV2heading_to_WP_deg,get,0
UAV2Direct_to_waypoint,UAV2heading_to_WP_deg,set,0
UAV2Change_heading,UAV2heading_to_WP_deg,get,0
UAV2Change_heading,UAV2heading_to_WP_deg,set,0
UAV2Flight_Dynamics,UAV2heading_dot_degs,get,0
UAV2Flight_Dynamics,UAV2heading_dot_degs,set,0
UAV2Flight_Dynamics,UAV2airspeed_kts,get,0
UAV2Flight_Dynamics,UAV2airspeed_kts,set,0
UAV2Manage_WP_Progress,UAV2airspeed_kts,get,0
UAV2Land,UAV2airspeed_kts,get,0
UAV2Flight_Dynamics,UAV2airspeed_dot_fps2,get,0
UAV2Flight_Dynamics,UAV2airspeed_dot_fps2,set,0
UAV2Flight_Dynamics,UAV2vspeed_fps,get,0
UAV2Flight_Dynamics,UAV2vspeed_fps,set,0
UAV2Flight_Dynamics,UAV2vspeed_dot_fps2,get,0
UAV2Flight_Dynamics,UAV2vspeed_dot_fps2,set,0
UAV2Flight_Dynamics,UAV2altitudeLoopEnabled,get,0
UAV2Land,UAV2altitudeLoopEnabled,set,0
UAV2Flight_Dynamics,UAV2vspeedLoopEnabled,get,0
UAV2Land,UAV2vspeedLoopEnabled,set,0
UAV2Flight_Dynamics,UAV2headingLoopTarget_deg,get,0
UAV2Flight_Dynamics,UAV2headingLoopTarget_deg,set,0
UAV2Change_heading,UAV2headingLoopTarget_deg,get,0
UAV2Change_heading,UAV2headingLoopTarget_deg,set,0
UAV2Flight_Dynamics,UAV2airspeedLoopTarget_kts,get,0
UAV2Flight_Dynamics,UAV2airspeedLoopTarget_kts,set,0
UAV2Flight_Dynamics,UAV2vspeedLoopTarget_fps,get,0
UAV2Flight_Dynamics,UAV2vspeedLoopTarget_fps,set,0
UAV2Land,UAV2vspeedLoopTarget_fps,set,0
UAV2Flight_Dynamics,UAV2altitudeLoopTarget_ft,get,0
UAV2Flight_Dynamics,UAV2altitudeLoopTarget_ft,set,0
UAV2Takeoff,UAV2altitudeLoopTarget_ft,set,0
UAV2Takeoff,UAV2Dock_available,get,0
UAV2Takeoff,UAV2Dock_available,set,0
UAV2Takeoff,UAV2Dock_location,get,0
UAV2Direct_to_waypoint,UAV2WP_longitude_deg,get,0
UAV2Direct_to_waypoint,UAV2WP_longitude_deg,set,0
UAV2Manage_WP_Progress,UAV2WP_longitude_deg,get,0
UAV2Distance_to_next_WP,UAV2WP_longitude_deg,get,0
UAV2Direct_to_waypoint,UAV2WP_latitude_deg,get,0
UAV2Direct_to_waypoint,UAV2WP_latitude_deg,set,0
UAV2Manage_WP_Progress,UAV2WP_latitude_deg,get,0
UAV2Distance_to_next_WP,UAV2WP_latitude_deg,get,0
UAV2Direct_to_waypoint,UAV2distance_to_waypoint,get,0
UAV2Manage_WP_Progress,UAV2distance_to_waypoint,get,0
UAV2Land,UAV2distance_to_waypoint,get,0
